NEWER_VERSION_ON_COMMIT_DATE;PREVIOUS_VERSION;Count of HASH
6.9.10;6.9.6;30
6.9.8;6.8.7;30
7.0.68;8.0.29;30
7.2.2.Final;7.2.2.Final;30
8.0.2.Final;8.0.1.Final;30
8.1.13.v20130916;8.1.12.v20130726;30
9.0.0.Alpha3;8.2.2.Final;30
9.2.21.v20170120;9.3.14.v20161028;30
0.12.2;0.12.3-SNAPSHOT;29
0.9.2-incubating;0.9.3-SNAPSHOT;29
1.0.0.CR1;1.0.0.Beta33;29
1.0.0.Final;8.1.0.Final-SNAPSHOT;29
1.0.11.Final;1.0.10.Final;29
1.1.0-rc1;1.1.0-SNAPSHOT;29
1.1.1;1.0.1;29
1.1.1;1.2-SNAPSHOT;29
1.1.4.RELEASE;1.3.0.RELEASE;29
1.2_15-B02;2.1.11-jbossorg-2;29
1.3.10.Final;1.3.10.Final;29
1.3.16.GA;1.3.15.GA;29
1.4.2;1.4;29
1.5;1.4;29
1.5.0.RELEASE;1.5.0.RC1;29
1.5.12;1.5.9;29
1.5.3;1.5.4;29
1.5.6;1.6.0;29
1.6.2;1.6.3;29
1.6.3;1.6.4;29
1.6.3;1.6.4-SNAPSHOT;29
1.6.4;1.6.5-SNAPSHOT;29
1.6.5;1.6.6-SNAPSHOT;29
1.6.5;1.7.0;29
1.7.0;1.7.1;29
1.7.10;1.7.5;29
1.7.8;1.7.6;29
1.7.9;1.7.6;29
1.9.6;1.9.5;29
1.9.6.RELEASE;1.11.0.BUILD-SNAPSHOT;29
10.0.0.Alpha1;10.0.0.Alpha1-SNAPSHOT;29
18.0;17;29
2.0.0.RC3;2.0.0-SNAPSHOT;29
2.0.53-beta;1.10.19;29
2.0.82-beta;2.0.53-beta;29
2.1.1;2.1.0;29
2.1.3-b02;1.2_15-jbossorg-1;29
2.2.5;2.0.54-beta;29
2.3.0;2.2.3;29
2.3.0;2.3.0-SNAPSHOT;29
2.3.0-b09;2.3.0-b05;29
2.3.0-M01;2.1.9-SNAPSHOT;29
2.3.4;2.3.4;29
2.33.1;2.32;29
2.4.3;2.3.10;29
2.4.8;2.4.7;29
2.6.2;1.0.4;29
2011.1;2011.1;29
20130531;20140925;29
3.0.6.Final;3.0.6.Final;29
3.0.8;3.1.5;29
3.1.5;3.1.6-SNAPSHOT;29
3.2;${ejb.version};29
3.2.1;3.1.0;29
3.6-EA;3.6-RC2-SNAPSHOT;29
3.6-RC1;3.6.1-SNAPSHOT;29
3.6-RC1;3.6-SNAPSHOT;29
4.12-beta-2;4.10;29
4.8.2;4.7;29
7.0.59;7.0.57;29
0.1.54;0.1.53;28
0.1.6;0.1.6-SNAPSHOT;28
0.1.76;0.1.78-SNAPSHOT;28
0.10.0;1.0.0-SNAPSHOT;28
0.2.3;0.2.4-SNAPSHOT;28
0.4-rc3.3;0.4-rc3.4-SNAPSHOT;28
0.5.1;0.6.0-SNAPSHOT;28
0.9.30;${version.org.syslog4j};28
0.92.3;0.93.0-SNAPSHOT;28
0.92.4;1.0.0-beta.2-SNAPSHOT;28
1.0.0.Alpha4.SP8;1.0.0.Alpha4.SP9-SNAPSHOT;28
1.0.0.CR3;1.0.0.CR3;28
1.0.16;2.0.0.RC4;28
1.0.16;2.0.0-SNAPSHOT;28
1.0.4;1.0.4;28
1.1.0-rc1;1.1;28
1.10.4.RELEASE;1.11.0.M1;28
1.10.5.RELEASE;1.11.0.M1;28
1.10.6.RELEASE;1.12.0.BUILD-SNAPSHOT;28
1.18.1;${jersey1.version};28
1.18.1;1.17;28
1.2.0.RELEASE;1.0.2.RELEASE;28
1.2.2;1.2.1;28
1.2.3;1.2.4-SNAPSHOT;28
1.2.4.Final;1.2.2.Final;28
1.2.6.Final;1.1.4.Final;28
1.3.10.Final;1.1.9.Final;28
1.3.7;1.3.3;28
1.3.7;1.3.7;28
1.3.8.GA;1.3.7.GA;28
1.3.9.GA;1.3.13.GA;28
1.3.9.GA;1.3.8.GA;28
1.4.0.RELEASE;1.4.0.RC1;28
1.4.4.RELEASE;1.4.3.RELEASE;28
1.4.4.RELEASE;1.5.0.M1;28
1.4.6.RELEASE;1.6.0.BUILD-SNAPSHOT;28
1.4.M01;1.4.M01;28
1.5.2;1.5.3;28
1.5.5.RELEASE;1.5.5.RELEASE;28
1.54;1.51;28
1.6.3.RELEASE;1.6.3.RELEASE;28
1.6.6.RELEASE;1.6.6.RELEASE;28
1.6.6.RELEASE;2.0.0.BUILD-SNAPSHOT;28
1.7.0.RELEASE;1.6.7.RELEASE;28
1.7.0.RELEASE;1.7.0.RC1;28
1.7.13;1.7.13;28
1.7.2;1.6.5;28
1.8.4.RELEASE;1.8.4.RELEASE;28
1.9.0;1.8.5;28
1.9.5;1.9.5-rc1;28
1.9.5.RELEASE;1.10.0.M1;28
13;10;28
2.1.0-beta.119;1.9.5;28
2.1.4.RELEASE;2.2.0.M1;28
2.1.5.RELEASE;2.2.0.M1;28
2.1.6.RELEASE;2.3.0.BUILD-SNAPSHOT;28
2.12.0-M4;2.11.7;28
2.2;2.0.7;28
2.4.0-b02;1;28
2.4.0-b10;2.4.0-b09;28
2.5.0-b24;1;28
2.5.1;2.5.2-SNAPSHOT;28
2.6.3;2.6.3;28
2.6.8;3.2.1-SNAPSHOT;28
2.6.8;3.3-SNAPSHOT;28
3.0.0.M8-incubating;3.0.0.M8;28
3.0.0.M8-incubating;3.0.0.M8-incubating;28
3.0.0.M8-incubating;3.0.0.M9-incubating-rc1;28
3.0.0.M8-incubating;3.0.0.M9-incubating-rc2;28
3.0.0.M9-incubating;3.0.0-incubating-rc2;28
3.0.0.M9-incubating;3.0.0-SNAPSHOT;28
3.0.0-incubating;3.0.1-incubating;28
3.0.0-milestone2;2.7.7;28
3.0.1;2.2.1;28
3.0.2.Final;3.0.1.Final;28
3.1.3;3.2-SNAPSHOT;28
3.19.0-GA;3.18.0-GA;28
3.2.2.RELEASE;3.2.1.RELEASE;28
3.2.6.RELEASE;3.2.5.RELEASE;28
3.5.2;3.6-SNAPSHOT;28
3.5.3;3.6-SNAPSHOT;28
3.5.4;3.6-RC2-SNAPSHOT;28
3.6;3.6.1-SNAPSHOT;28
3.9.0;3.8.6;28
4.0;4.0-beta5;28
4.0.41.Final;4.0.40.Final;28
4.0.9.RELEASE;4.2.9.RELEASE;28
4.0.9.RELEASE;4.3.1.RELEASE;28
4.1.6.RELEASE;4.3.0.BUILD-SNAPSHOT;28
4.1.7.RELEASE;4.2.0.BUILD-SNAPSHOT;28
4.1.7.RELEASE;4.2.0.RC2;28
4.11;3.8.1;28
5.1.4.Final;5.1.3.SP1;28
5.1.5.FINAL;5.1.5.FINAL;28
5.2.13.Final;5.4.0.Final;28
5.2.16.Final;5.3.4.Final;28
5.2.20.Final;5.3.5.Final;28
5.2.21.Final;5.4.0.Final;28
5.3.0;4.10.4;28
5.3.3.Final;5.3.5.Final;28
5.3.4.Final;5.3.5.Final;28
5.5.1.Final;5.5.2.Final;28
5.5.2.Final;5.5.2.Final;28
6.3.0;5.3.1;28
7.0.61;7.0.59;28
7.0.65;8.0.28;28
8.0.17;7.0.57;28
9.0.0.Alpha1;9.0.0.Alpha2-SNAPSHOT;28
9.2.7.v20150116;8.1.14.v20131031;28
9.3.11.v20160721;9.2.17.v20160517;28
9.3.11.v20160721;9.3.11.v20160721;28
9.3.6.v20151106;9.2.10.v20150310;28
0.1.2;0.1.4-SNAPSHOT;27
0.10.2;0.11.1-SNAPSHOT;27
0.11.0;0.11.2-SNAPSHOT;27
0.11.0;0.11.3-SNAPSHOT;27
0.11.0;0.12.0-SNAPSHOT;27
0.9.5;0.9.6-SNAPSHOT;27
1.0.0.Alpha5;1.0.0.Alpha4.SP9;27
1.0.0.Beta7;1.0.0.Beta8;27
1.0.0.GA;1.0.0.CR2;27
1.0.1.Beta1;1.0.1.Beta1;27
1.0.15.Final;1.0.14.Final;27
1.0.16.Final;1.0.15.Final;27
1.0.17.Final;1.0.16.Final;27
1.1.0-beta.2;1.1.0-beta.3;27
1.1.0-beta.2;1.1.0-beta.3-SNAPSHOT;27
1.1.1;1.1.0;27
1.1.3.Final;1.1.3.Final;27
1.10;1.5;27
1.13;1.11;27
1.18.4;1.19;27
1.2.1;1.2.2;27
1.3.0-beta20;1.3.0-beta18;27
1.3.10.GA;1.3.9.GA;27
1.3.13.GA;1.3.11.GA;27
1.3.15.GA;1.3.14.GA;27
1.3.4.Final;1.3.3.Final;27
1.3.6;1.3.6;27
1.3.7.GA;1.3.13.GA;27
1.3.8;1.3.8;27
1.4.191;1.4.190;27
1.4.192;1.4.191;27
1.4.3.RELEASE;1.3.9.RELEASE;27
1.7.14;1.7.13;27
1.7.16;1.7.13;27
1.7.20;1.7.13;27
1.9.38;2.0.4;27
1.9.6;1.9.2;27
2.0.106-beta;1.10.19;27
2.0.111-beta;1.9.5;27
2.0-m04;2.0-m03;27
2.0-RC1;2.0-rc1;27
2.1;2.1.1;27
2.1.4.RELEASE;2.1.3.RELEASE;27
2.2.0;3.0.0-SNAPSHOT;27
2.2.0-m09;1.2_15-jbossorg-2;27
2.2.26;1.10.19;27
2.2.4;2.1.4;27
2.3.1;2.2.3;27
2.3.3;2.3.3;27
2.3.3;2.4.0;27
2.5.10;2.6.1;27
2.5.5;2.6.3;27
2.5.5;2.6.4;27
2.6.0;2.5.3;27
2.6.7;3.1.6-SNAPSHOT;27
2.70;2.62;27
2.71;2.62;27
2.8.0.rc2;2.7.5;27
3.0.0.M7;3.0.0.M7;27
3.0.6.RELEASE;4.0.5.RELEASE;27
3.1.1;3.0.9-SNAPSHOT;27
3.2.1;2.2.1;27
3.2.9.RELEASE;3.2.8.RELEASE;27
3.4;3.3;27
3.4.0;3.4.0;27
3.4.8;3.6.3-SNAPSHOT;27
3.5.2;3.5.2;27
3.5.2;3.5-3-SNAPSHOT;27
3.5.3;3.5.4-SNAPSHOT;27
3.5-EA;3.5.1-SNAPSHOT;27
4.1.1.RELEASE;4.1.0.RELEASE;27
4.1.3.RELEASE;4.1.2.RELEASE;27
4.10.4;4.6.1;27
4.2.3.RELEASE;4.1.6.RELEASE;27
4.4.1;4.3.4;27
5.0.0.Final;5.0.0.CR2;27
5.0.8.Final;5.0.7.Final;27
5.0.8.Final;5.0.8.Final;27
5.2.0.Final;5.1.1.Final;27
5.2.1.Final;5.2.2.Final;27
5.2.11.Final;5.2.12.Final;27
5.2.11.Final;5.2.9.Final;27
5.2.12.Final;5.2.9.Final;27
5.2.13.Final;5.2.13.Final;27
5.2.14.Final;5.2.16.Final;27
5.2.15.Final;5.2.14.Final;27
5.2.15.Final;5.3.0.Final;27
5.2.16.Final;5.2.14.Final;27
5.2.17.Final;5.2.16.Final;27
5.2.2.Final;5.2.3.Final;27
5.2.5.Final;5.2.4.Final;27
5.2.7.Final;5.2.6.Final;27
5.3.0.Final;5.2.13.Final;27
5.3.2.Final;5.2.15.Final;27
5.3.2.Final;5.2.16.Final;27
7.0.68;8.0.30;27
8.0.0.Alpha1;1.0.0.beta1;27
8.0.35;8.0.33;27
8.0.35;8.0.35;27
0.0.9;0.0.10-SNAPSHOT;26
0.1.1;0.1.1-SNAPSHOT;26
0.1.7;0.1.7;26
0.13;0.14;26
0.13;0.14-SNAPSHOT;26
0.133;0.94;26
0.5.0-incubating;0.6.0-incubating-SNAPSHOT;26
0.6.0;0.7.0;26
0.65;0.66-SNAPSHOT;26
0.65;0.67-SNAPSHOT;26
0.66;0.67;26
0.66;0.67-SNAPSHOT;26
0.67;0.68;26
0.67;0.68-SNAPSHOT;26
0.9.1-incubating;0.9.2-incubating-SNAPSHOT;26
1.0.0.Beta8;1.0.0.Beta7;26
1.0.0.CR1;1.0.0.Beta9-SNAPSHOT;26
1.0.0.RELEASE;1.0.0.RELEASE;26
1.0.0-beta.1;1.0.0-beta.2-SNAPSHOT;26
1.0.9.Final;1.0.9.Final;26
1.12;1.5;26
1.2;1.0.4;26
1.2.2.GA;1.2.2.GA;26
1.3.170;1.3.168;26
1.3.4;1.3.4;26
1.4.4.RELEASE;1.4.4.RELEASE;26
1.4.4.RELEASE;1.6.0.RELEASE;26
1.4.8.Final;1.4.6.Final;26
1.5.2.Final;1.5.0.final;26
1.7.16;1.7.15;26
1.9.6;2.0-SNAPSHOT;26
14;10;26
14.0.1;r09;26
19.0;18;26
19.0;19.0;26
2.0.3;2.1;26
2.0.48-beta;1.10.19;26
2.0.49-beta;1.9.5;26
2.0.60-beta;1.10.19;26
2.0.62-beta;1.10.19;26
2.0.95-beta;1.10.19;26
2.0-RC1;2.0-m16;26
2.1.1;2.3-SNAPSHOT;26
2.10.2.2.21;2.9.1;26
2.10.5;2.10.4;26
2.2.0.RELEASE;2.1.4.RELEASE;26
2.2.3.RELEASE;2.2.3.RELEASE;26
2.2.4.RELEASE;2.2.4.RELEASE;26
2.26-b01;2.25;26
2.3.0.Beta3;2.3.0.BETA3;26
2.3.9;2.2.5;26
2.4.0;2.1.4;26
2.4.0;2.4.1;26
2.4.2.RELEASE;2.4.2.RELEASE;26
2.4.3.Final;2.4.4.Final;26
2.4.5;2.4.3;26
2.4.5.Final;2.4.4.Final;26
2.4.6.Final;2.4.5.Final;26
2.5;3.0-SNAPSHOT;26
2.5.6.SEC03;2.5.6.SEC03;26
2.6.0;2.5.2;26
2.6.0;2.6.1-SNAPSHOT;26
2.6.1;2.6;26
2.6.14;2.7.11;26
2.6.2;3.0.2-SNAPSHOT;26
2.6.4;3.1.1-SNAPSHOT;26
2.6.4;3.2-SNAPSHOT;26
2.6.7;3.2-SNAPSHOT;26
2.7.0;2.7.1-SNAPSHOT;26
2.7.1;2.6.3;26
2.7.2;2.6.4;26
2.7.3;2.6.6;26
2.8.0;2.8.1-SNAPSHOT;26
2.8.1;2.4.3;26
3.0;3.1-SNAPSHOT;26
3.0.2;3.1.0;26
3.0.4.Final;3.0.2.Final;26
3.1.1.Final;3.1.1.Final;26
3.1.4.Final;3.1.4.Final;26
3.2.1.RELEASE;3.2.0.RELEASE;26
3.4.3;3.6-SNAPSHOT;26
3.4.5;3.5.2-SNAPSHOT;26
3.4.6;3.5.3-SNAPSHOT;26
3.4.6;3.6-SNAPSHOT;26
4.0.0.Alpha1;4.0.0.Alpha2-SNAPSHOT;26
4.0.0.Alpha1;4.0.0.Alpha3-SNAPSHOT;26
4.8.2;4.6;26
5.0.0.Alpha2;4.1.0.Beta5;26
5.0.0.Alpha2;4.1.0.Beta5-SNAPSHOT;26
5.0.5.Final;5.0.5.Final;26
5.12.0;5.10.2;26
5.2.0.Alpha1;5.1.2.Final;26
5.4.0.Beta1;5.2.4.Final;26
7.0.65;8.0.26;26
7.0.67;8.0.28;26
0.0.3.3;0.0.3.4-SNAPSHOT;25
0.1.3;0.2.0-SNAPSHOT;25
0.16;0.17;25
0.16;0.17-SNAPSHOT;25
0.2.1;0.3.0-SNAPSHOT;25
0.22;0.21;25
0.4.0;0.6.1-SNAPSHOT;25
0.40-alpha1;0.40-alpha1;25
0.4-rc3.10;0.4-rc3.11-SNAPSHOT;25
0.9;1.0-SNAPSHOT;25
1.0.0.Beta12;1.0.0.Beta12;25
1.0.0.Beta13;1.0.0.Beta13;25
1.0.0.Beta15;1.0.0.Beta14;25
1.0.0.beta3;1.0.0.beta2;25
1.0.0.beta3;8.0.0.Final-SNAPSHOT;25
1.0.2;1.0.2;25
1.0.4.Final;1.0.4.CR1;25
1.1.3;1.1;25
1.18;1.18;25
1.2.0.RELEASE;1.2.0.RC1;25
1.2.0.RELEASE;1.3.0.M1;25
1.3.11;1.3.11;25
1.3.4;1.3.5-SNAPSHOT;25
1.3.6;1.3.7-SNAPSHOT;25
1.3.6.GA;1.3.4.GA;25
1.4;1.3.1;25
1.4.0.Final;1.4.0.Beta1;25
1.4.2;1.4.3-SNAPSHOT;25
1.5.0.Beta1;1.4.1.Final;25
1.5.1-M2;1.5.2-M2-SNAPSHOT;25
1.5.9;1.5.8;25
1.7.4.RELEASE;1.7.4.RELEASE;25
1.8.3;1.8.3;25
1.9.27;1.9.19;25
1.9.3;1.9.3;25
1.9.34;1.9.20;25
1.9.7.RELEASE;1.10.0.RELEASE;25
2.0.0;${project.version};25
2.0.0-RC2;2.0.0;25
2.0.1;2.0.0;25
2.0-m02;2.0-m02;25
2.0-RC2;2.0-rc1;25
2.1.0-beta.120;1.10.19;25
2.1.2;1.9.8-SNAPSHOT;25
2.1.2.Final;2.1.1.Final;25
2.1.5;1.9.9-SNAPSHOT;25
2.10.3;3.1.2;25
2.11;2.11;25
2.12.0-M1;2.11.6;25
2.12.0-M2;2.10.5;25
2.2;2.1;25
2.2.0;2.1.2;25
2.2.0.RELEASE;2.2.0.RELEASE;25
2.2.17.GA;2.2.17.GA;25
2.3.0;2.4.0-RC1;25
2.3.0-b10;2.2.0;25
2.3.12;2.3.12;25
2.3.8;2.2.5;25
2.4.0-b01;2.3.0-b10;25
2.5.0-b30;2.5.0-b05;25
2.5.0-rc1;2.3.4;25
2.7.0;2.8.0;25
2.8.0;2.9.0;25
3.0;3;25
3.0.1;2.7.12;25
3.0.17.Final;3.0.16.Final;25
3.0.18.Final;3.0.17.Final;25
3.1.0.CR3;3.1.0.Final;25
3.1.8;3.5.2-SNAPSHOT;25
3.2.0.Final;3.2.0.Beta4;25
3.2.16.RELEASE;4.2.4.BUILD-SNAPSHOT;25
3.3.0;2.2.0;25
3.3.2;3.3.0;25
3.4;3.4.1-SNAPSHOT;25
3.6-EA;3.5.5-SNAPSHOT;25
4.1.1.Final;4.1.2.Final;25
4.1.1.Final;4.1.2.Final-SNAPSHOT;25
4.1.2.Final;4.1.3.Final;25
4.1.2.Final;4.1.3.Final-SNAPSHOT;25
4.1.3.Final;4.1.4.Final;25
4.1.3.Final;4.1.4.Final-SNAPSHOT;25
4.1.5.Final;4.1.6.Final;25
4.1.5.Final;4.1.6.Final-SNAPSHOT;25
4.11-beta-1;4.10;25
4.3.6.RELEASE;4.3.6.BUILD-SNAPSHOT;25
4.9.4.Final;4.9.4.Final;25
5.0.0.Final;5.0.0.CR4;25
5.0.3;5.0.3;25
5.0.4;5.0.3;25
5.1.1.Final;5.0.4.Final;25
5.13.4;5.13.3;25
5.5.0.Alpha1;5.4.0.Alpha1;25
5.5.2;4.10.4;25
8.0.0.Alpha4;1.0.0.beta3;25
8.0.38;8.5.5;25
9.3.6.v20151106;9.2.14.v20151106;25
0.0.1;0.0.2-SNAPSHOT;24
0.12;0.13;24
0.12;0.13-SNAPSHOT;24
0.14;0.15-SNAPSHOT;24
0.14;0.16;24
0.14;0.16-SNAPSHOT;24
0.17;0.18;24
0.17;0.18-SNAPSHOT;24
0.18;0.19-SNAPSHOT;24
0.2-1.2.M04;0.2-1.2.M05;24
0.2-1.2.M04;0.2-SNAPSHOT;24
0.23.0.RELEASE;0.21.0.RELEASE;24
0.5.1-hadoop2;0.5-rc2;24
0.6.0;0.5.1-SNAPSHOT;24
0.60;0.61;24
0.60;0.61-SNAPSHOT;24
0.60;0.62-SNAPSHOT;24
0.61;0.62-SNAPSHOT;24
0.61;0.63-SNAPSHOT;24
0.62;0.62;24
0.62;0.63;24
0.62;0.64-SNAPSHOT;24
0.63;0.64-SNAPSHOT;24
0.63;0.65-SNAPSHOT;24
0.64;0.64;24
0.64;0.65;24
0.64;0.65-SNAPSHOT;24
0.7.2;0.6;24
0.9.4;0.9.3;24
1.0.0.beta4;1.0.0.beta3;24
1.0.0.CR7;1.0.0.CR7;24
1.0.0.Final;1.0.0.CR2;24
1.0.13;1.0.1;24
1.1.11.Final;1.1.10.Final;24
1.1.7;1.1.6;24
1.10.4.RELEASE;1.10.3.RELEASE;24
1.16.8;1.12.6;24
1.2.1.RELEASE;1.1.4.RELEASE;24
1.2.2.RELEASE;1.0.2.RELEASE;24
1.3.1.RELEASE;1.1.4.RELEASE;24
1.3.10;1.3.11-SNAPSHOT;24
1.3.2.RELEASE;1.4.0.M1;24
1.3.7.GA;1.3.6.GA;24
1.3.8;1.3.9-SNAPSHOT;24
1.3.9;1.3.9;24
1.4.0.CR1;1.3.21.Final;24
1.4.10.Final;1.4.9.Final;24
1.4.4.Final;1.4.4.Final;24
1.5.0.RELEASE;1.6.0.M1;24
1.5.5;1.4.12;24
1.6.1.RELEASE;1.4.4.RELEASE;24
1.6.2.RELEASE;1.5.6.RELEASE;24
1.6.5.RELEASE;1.7.3.RELEASE;24
1.7.15;1.7.14;24
1.7.22;1.7.7.jbossorg-1;24
1.7.4.RELEASE;1.9.0.RELEASE;24
1.7.6.RELEASE;2.0.0.BUILD-SNAPSHOT;24
1.7.7.RELEASE;2.0.0.BUILD-SNAPSHOT;24
1.8.0.RELEASE;1.9.0.M1;24
1.9.1.RELEASE;1.7.4.RELEASE;24
1.9.4.RELEASE;1.9.3.RELEASE;24
1.9.53;2.2.18;24
14;14;24
2.0;2.0-SNAPSHOT;24
2.0.10;2.1.8;24
2.0.2;1.9.7-SNAPSHOT;24
2.0.78-beta;1.9.5;24
2.0.82-beta;1.9.5;24
2.0.9;1.2_15-jbossorg-2;24
2.0.97-beta;1.10.19;24
2.0-m16;2.0-m15;24
2.0M8;2.0M7;24
2.1.0.CR2;2.0.5.Final;24
2.1.0-incubating;2.0.2-21-22;24
2.1.2;1.4.0;24
2.1.3;3.0.0-SNAPSHOT;24
2.1.4;2.1.4-mmx-2;24
2.1.5;2.0.5-SNAPSHOT;24
2.12.0-M3-dc9effe;2.11.7;24
2.2.0.Beta1;2.2.0.Beta1;24
2.2.12.Final;2.2.11.Final;24
2.2.16.SP1;2.3.0.Final;24
2.2.3;2.1.0;24
2.2.4;2.2.2;24
2.3;2.2.2;24
2.3.0.RELEASE;2.3.0.RC1;24
2.3.1;2.2.1;24
2.3.1.Final;2.3.1.Final;24
2.3.11;1.9.57;24
2.3.19;1.9.57;24
2.3.24;1.9.57;24
2.3.4;2.4.0;24
2.3.7;2.3.6;24
2.3-rc6;1.9.50;24
2.4;2.4-SNAPSHOT;24
2.4.0.Beta3;2.4.0.Beta3;24
2.4.0.Final;2.4.0.Beta3;24
2.4.0-b07;2.3.0;24
2.4.0-b09;2.4.0-b06;24
2.4.0-b12;2.4.0-b10;24
2.4.0-b13;1;24
2.4.0-b25;2.4.0-b12;24
2.4.0-b27;2.4.0-b25;24
2.4.1;2.3.0;24
2.4.2;2.3.2;24
2.4.4.RELEASE;2.5.0.M1;24
2.4.5.RELEASE;2.5.3.RELEASE;24
2.42.2;2.0b1;24
2.42.2;2.24.1;24
2.42.2;2.29.1;24
2.5.0-b05;2.4.0-b34;24
2.5.1;2.6-SNAPSHOT;24
2.5.6.RELEASE;3.0.0.BUILD-SNAPSHOT;24
2.5.7.RELEASE;3.0.0.BUILD-SNAPSHOT;24
2.6.1;2.4.2;24
2.6.1;2.5.4;24
2.6.1;2.6.0;24
2.6.14;2.7.12;24
2.6.14;3.0.2;24
2.6.6;2.4.3;24
2.77;2.62;24
3.0.0.M6;3.0.0.M6;24
3.0.0.M7;3.0.0-SNAPSHOT;24
3.0.0-M02;2.3.3-SNAPSHOT;24
3.0.0-M02;3.0.0-SNAPSHOT;24
3.0.1;4.0-SNAPSHOT;24
3.0.1.Final;3.0-beta-4;24
3.0.1.Final;3.0-rc-1;24
3.0.18.Final;3.0.18.Final;24
3.0.1-incubating;3.0.1-SNAPSHOT;24
3.0.2-incubating;3.0.1-incubating;24
3.1.1;2.10.2.2.21;24
3.1.2.Final;3.1.2.Final;24
3.1.3.Final;3.1.3.Final;24
3.1.9;3.7.5;24
3.2.10.RELEASE;4.2.0.RELEASE;24
3.2.12.Final;3.2.11.Final;24
3.3.0.CR1;3.3.0.CR2;24
3.3.0.CR1;3.3.0-SNAPSHOT;24
3.3.0.CR2;3.4.0-SNAPSHOT;24
3.3.3;3.4-RC1-SNAPSHOT;24
3.3.3;3.5-SNAPSHOT;24
3.3.5;3.4.1-SNAPSHOT;24
3.3.5;3.5-SNAPSHOT;24
3.4;3.5-SNAPSHOT;24
3.4.0.Beta1;3.3.1.Final;24
3.4.1;3.4.3-SNAPSHOT;24
3.6.1;3.5.5;24
3.6.4;3.6.5-SNAPSHOT;24
3.6.6.Final;3.6.6.Final;24
3.7.1;3.6.4;24
3.7-EA;3.6.3;24
3.8.4;3.7.4;24
3.8-EA;3.6.6;24
3.9.1;3.8.6;24
4.1.0.Beta5;4.1.0.Beta6;24
4.1.0.Beta5;4.1.0.Beta6-SNAPSHOT;24
4.1.0.Beta6;4.1.0.Beta7;24
4.1.0.Beta6;4.1.0.Beta7-SNAPSHOT;24
4.1.0.Beta7;4.1.0.Beta8;24
4.1.0.Beta7;4.1.0.Beta8-SNAPSHOT;24
4.1.0.CR1;4.1.0.CR2;24
4.1.0.CR1;4.1.0.CR2-SNAPSHOT;24
4.1.0.CR3;4.1.0.CR4-SNAPSHOT;24
4.1.0.CR3;4.1.0.Final-SNAPSHOT;24
4.2.10;4.2.11;24
4.2.10;4.2.11-SNAPSHOT;24
4.2.11;4.2.12;24
4.2.11;4.2.12-SNAPSHOT;24
4.2.12;4.2.13;24
4.2.12;4.2.13-SNAPSHOT;24
4.2.2;4.1.0;24
4.3.2.RELEASE;4.3.1.RELEASE;24
4.4.0;4.2.1;24
4.4.4;4.4.1;24
5.0.0.M4;5.0.0.M4;24
5.0.0.M8;5.0.0.M8;24
5.0.4.Final;5.0.1.Final;24
5.2.0.Beta1;5.0.3.Final;24
5.2.20.Final;8.2.5.Final;24
6.0.45;6.0.29;24
7.0.72;8.5.4;24
7.1.1.v20100517;7.0.1.v20091125;24
8.5.9;8.5.6;24
9.2.11.M0;9.2.9.v20150224;24
9.2.9.v20150224;9.2.7.v20150116;24
9.3.11.v20160721;9.2.10.v20150310;24
0.0.1;0.0.1;23
0.0.14;0.0.16-SNAPSHOT;23
0.1.26;0.1.20;23
0.4-rc3.10;0.4.0;23
0.4-rc3.6;0.4-rc3.7;23
0.4-rc3.6;0.4-rc3.7-SNAPSHOT;23
0.4-rc3.7;0.4-rc3.8;23
0.4-rc3.7;0.4-rc3.8-SNAPSHOT;23
0.8.2;0.9.0-rc3;23
0.9;0.10.0;23
0.9;0.10.0-SNAPSHOT;23
0.9.10;0.9.10;23
0.9.5;0.9.5;23
1.0.0.Alpha1;1.0.0.Alpha1;23
1.0.0.Alpha4.SP5;1.0.0.Alpha4.SP5;23
1.0.0.Alpha4.SP5;1.0.0.Alpha4.SP5-SNAPSHOT;23
1.0.0.Alpha4.SP6;1.0.0.Alpha4.SP6-SNAPSHOT;23
1.0.0.Alpha4.SP7;1.0.0.Alpha4.SP7;23
1.0.0.Final;1.0.0.beta2;23
1.0.13;1.0.10;23
1.1.0.Beta17;1.1.0.Beta16;23
1.1.6.Final;1.2.7.Final;23
1.12.5;1.12.4;23
1.17;1.9.1;23
1.2.6.RELEASE;1.2.2.RELEASE;23
1.3.25;1.3.16-jbossorg-1;23
1.3.7;1.3.8-SNAPSHOT;23
1.3.7.Final;1.3.5.Final;23
1.5.2;1.4.2;23
1.5.3;1.5.3;23
1.53;1.52;23
1.8.4.RELEASE;1.9.0.M1;23
1.9.3;1.9.2;23
10.0.0.Alpha4;10.0.0.Alpha5-SNAPSHOT;23
18.0;16.0.1;23
2.0-m01;2.0-m01;23
2.1.1;2.1;23
2.1.1.Final;2.1.0.Final;23
2.1.6.Final;2.1.4.Final;23
2.13;2.11;23
2.2.27;1.9.5;23
2.23;2.22.2;23
2.3.1;2.3-SNAPSHOT;23
2.3.23;2.3.22;23
2.3.6;2.3.6-SNAPSHOT;23
2.4.2;2.3.3;23
2.4.5;2.4.5;23
2.6.10;3.5.1-SNAPSHOT;23
2.6.10;3.6-SNAPSHOT;23
2.6.8;1.9.5;23
2.7.8;2.8.3;23
2.8.9;3.1.3;23
3.0.0;3.0.0-RC1;23
