NEWER_VERSION_ON_COMMIT_DATE;PREVIOUS_VERSION;Count of HASH
3.1.0-M04;3.1.0-SNAPSHOT;948
4.3.6.RELEASE;4.3.6.RELEASE;933
2.8.0-beta1;2.7.0;901
1.1.7.RELEASE;1.2.0.BUILD-SNAPSHOT;900
4.2.7.RELEASE;4.3.2.BUILD-SNAPSHOT;900
0.17;0.14;898
3.2.17.RELEASE;4.3.0.RC2;893
3.3.0.Final;3.3.0.Final;883
2.1.0-M01;2.1-SNAPSHOT;872
0.12.1;0.12.2;870
4.1.5.RELEASE;4.1.5.RELEASE;868
1.3.1.RELEASE;1.3.2.BUILD-SNAPSHOT;866
4.2.1.RELEASE;4.2.1.RELEASE;861
1.1.4.RELEASE;1.1.5.BUILD-SNAPSHOT;845
2.0.0-M04;2.0-SNAPSHOT;840
2.2.5;2.2.6-SNAPSHOT;830
3.0.0-BETA1;3.0.0;830
2.2.0-RC01;2.2-SNAPSHOT;824
3.1.0-M06;3.0.5-SNAPSHOT;818
4.1.5.RELEASE;4.2.0.BUILD-SNAPSHOT;817
0.19;0.19;815
1.4.0.RELEASE;1.4.2.BUILD-SNAPSHOT;815
4.1.3.RELEASE;4.0.8.RELEASE;810
2.1.0-M01;2.0.2-SNAPSHOT;805
2.2.4;2.3-SNAPSHOT;805
2.3.0-M02;2.3-SNAPSHOT;805
2.1.2;2.1.2;800
1.5.1.RELEASE;2.0.0.BUILD-SNAPSHOT;792
2.2.0-RC01;2.3-SNAPSHOT;777
1.3;1.3;772
2.3.0-M03;3.0-SNAPSHOT;768
4.2.1.RELEASE;4.2.2.BUILD-SNAPSHOT;768
1.2.7.RELEASE;1.2.8.BUILD-SNAPSHOT;765
4.2.3.RELEASE;4.1.9.BUILD-SNAPSHOT;762
10.0.0.Beta2;10.0.0.CR1-SNAPSHOT;756
2.3.4;3.0.2-SNAPSHOT;752
4.3.3.RELEASE;4.2.8.RELEASE;750
3.2.14.RELEASE;4.1.7.RELEASE;749
6.9.10;6.8.8;740
2.21.1;2.22;739
1.5.M02;1.5;730
3.6.2;2.6.0;726
10.0.0.Beta1;10.0.0.Beta2-SNAPSHOT;725
2.20;2.21;723
2.0.2-beta;1.10.19;718
3.1.0-M13-beta3;3.1.0-SNAPSHOT;715
2.19;2.20;711
3.0.0-M01;3.0.0-SNAPSHOT;705
1.9.3;2.0-SNAPSHOT;703
1.3.4.RELEASE;1.3.5.BUILD-SNAPSHOT;698
2.2.9;3.1.0-SNAPSHOT;697
3.0.0;3.0.1-SNAPSHOT;697
1.9.8;2.2-SNAPSHOT;694
2.0.0.Final;2.0.0.Final;691
2.2.7;3.0.0-SNAPSHOT;688
4.2.3.RELEASE;4.2.3.RELEASE;687
1.3.4.RELEASE;1.3.6.BUILD-SNAPSHOT;684
2.17;2.18;683
1.9.9;2.2-SNAPSHOT;682
3.2.12.RELEASE;4.1.2.RELEASE;678
0.8.0-rc3;0.8.0-RC4-SNAPSHOT;677
2.1.3;2.1.4-SNAPSHOT;664
2.3.0-M01;2.3-SNAPSHOT;664
2.0-RC1;2.0-SNAPSHOT;662
2.2.8;2.3.2-SNAPSHOT;659
2.3.3;3.0.0-SNAPSHOT;656
3.2.11.RELEASE;4.0.7.RELEASE;653
3.2.0-alpha02;3.0.9-SNAPSHOT;651
3.2.0-alpha01;3.0.9-SNAPSHOT;648
2.16;2.17;644
3.0.0.Alpha19;3.0.0.Alpha19;642
